lat,lon,probability
59.4457,26.0707,0.412
59.4457,26.1124,0.403
59.4457,26.154,0.407
59.4457,26.1957,0.403
59.4457,26.2374,0.415
59.4457,26.279,0.415
59.4457,26.3207,0.38
59.4457,26.3624,0.417
59.4457,26.404,0.39
59.4457,26.4457,0.39
59.4457,26.4874,0.423
59.4457,26.529,0.4
59.4457,26.5707,0.393
59.4457,26.6124,0.403
59.4457,26.654,0.395
59.4457,26.6957,0.42
59.4457,26.7374,0.412
59.4457,26.779,0.405
59.4457,26.8207,0.428
59.4457,26.8624,0.403
59.4457,26.904,0.45
59.4457,26.9624,0.445
59.4457,27.1124,0.445
59.4457,27.1874,0.452
59.4457,27.2374,0.455
59.4457,27.279,0.447
59.4457,27.3207,0.425
59.4457,27.3624,0.428
59.4457,27.404,0.4
59.4457,28.004,0.41
59.4457,28.0457,0.395
59.4457,28.0874,0.395
59.4374,24.3624,0.428
59.4374,24.404,0.428
59.4374,24.4457,0.44
59.4374,24.4874,0.445
59.4374,24.529,0.45
59.4374,24.5707,0.442
59.4374,24.6124,0.438
59.4374,24.654,0.498
59.4374,24.6957,0.495
59.4374,24.7374,0.498
59.4374,24.779,0.48
59.4374,24.8207,0.493
59.4374,24.8624,0.488
59.4374,24.904,0.475
59.4374,24.9457,0.458
59.4374,24.9874,0.47
59.4374,25.029,0.46
59.4374,25.0707,0.455
59.4374,25.1124,0.458
59.4374,25.154,0.445
59.4374,25.1957,0.452
59.4374,25.2374,0.447
59.4374,25.279,0.46
59.4374,25.3207,0.447
59.4374,25.3624,0.447
59.4374,25.404,0.452
59.4374,25.4457,0.458
59.4374,25.4874,0.438
59.4374,25.529,0.445
59.4374,25.5707,0.43
59.4374,25.6124,0.46
59.4374,25.654,0.428
59.4374,25.6957,0.405
59.4374,25.7374,0.42
59.4374,25.779,0.415
59.4374,25.8207,0.425
59.4374,25.8624,0.42
59.4374,25.904,0.423
59.4374,25.9457,0.407
59.4374,25.9874,0.428
59.4374,26.029,0.393
59.4374,26.0707,0.415
59.4374,26.1124,0.428
59.4374,26.154,0.428
59.4374,26.1957,0.415
59.4374,26.2374,0.417
59.4374,26.279,0.42
59.4374,26.3207,0.42
59.4374,26.3624,0.42
59.4374,26.404,0.385
59.4374,26.4457,0.415
59.4374,26.4874,0.44
59.4374,26.529,0.4
59.4374,26.5707,0.407
59.4374,26.6124,0.42
59.4374,26.654,0.405
59.4374,26.6957,0.423
59.4374,26.7374,0.393
59.4374,26.779,0.4
59.4374,26.8207,0.428
59.4374,26.8624,0.41
59.4374,26.904,0.425
59.4374,26.9457,0.445
59.4374,26.9874,0.45
59.4374,27.029,0.45
59.4374,27.0707,0.438
59.4374,27.1124,0.44
59.4374,27.154,0.458
59.4374,27.1957,0.435
59.4374,27.2374,0.42
59.4374,27.279,0.407
59.4374,27.3207,0.38
59.4374,27.3624,0.412
59.4374,27.404,0.398
59.4374,27.4457,0.403
59.4374,27.4874,0.415
59.4374,27.529,0.412
59.4374,28.004,0.395
59.4374,28.0457,0.393
59.4374,28.0874,0.393
59.429,24.329,0.45
59.429,24.3707,0.43
59.429,24.4124,0.433
59.429,24.454,0.442
59.429,24.4957,0.442
59.429,24.5374,0.447
59.429,24.579,0.46
59.429,24.6207,0.495
59.429,24.6624,0.498
59.429,24.704,0.485
59.429,24.7457,0.502
59.429,24.7874,0.49
59.429,24.829,0.485
59.429,24.8707,0.48
59.429,24.9124,0.472
59.429,24.954,0.463
59.429,24.9957,0.447
59.429,25.0374,0.45
59.429,25.079,0.458
59.429,25.1207,0.458
59.429,25.1624,0.442
59.429,25.204,0.458
59.429,25.2457,0.455
59.429,25.2874,0.455
59.429,25.329,0.46
59.429,25.3707,0.445
59.429,25.4124,0.45
59.429,25.454,0.447
59.429,25.4957,0.44
59.429,25.5374,0.46
59.429,25.579,0.463
59.429,25.6207,0.417
59.429,25.6624,0.425
59.429,25.704,0.41
59.429,25.7457,0.438
59.429,25.7874,0.42
59.429,25.829,0.415
59.429,25.8707,0.428
59.429,25.9124,0.412
59.429,25.954,0.43
59.429,25.9957,0.41
59.429,26.0374,0.435
59.429,26.079,0.44
59.429,26.1207,0.423
59.429,26.1624,0.41
59.429,26.204,0.415
59.429,26.2457,0.42
59.429,26.2874,0.44
59.429,26.329,0.438
59.429,26.3707,0.403
59.429,26.4124,0.42
59.429,26.454,0.43
59.429,26.4957,0.43
59.429,26.5374,0.41
59.429,26.579,0.41
59.429,26.6207,0.4
59.429,26.6624,0.41
59.429,26.704,0.407
59.429,26.7457,0.403
59.429,26.7874,0.405
59.429,26.829,0.407
59.429,26.8707,0.39
59.429,26.9124,0.417
59.429,26.954,0.425
59.429,26.9957,0.445
59.429,27.0374,0.438
59.429,27.079,0.445
59.429,27.1207,0.442
59.429,27.1624,0.433
59.429,27.204,0.438
59.429,27.2457,0.433
59.429,27.2874,0.387
59.429,27.329,0.385
59.429,27.3707,0.405
59.429,27.4124,0.39
59.429,27.454,0.365
59.429,27.4957,0.425
59.429,27.5374,0.407
59.429,27.604,0.398
59.429,27.9707,0.423
59.429,28.0124,0.387
59.429,28.054,0.41
59.429,28.0957,0.395
59.4207,24.329,0.41
59.4207,24.3707,0.415
59.4207,24.4124,0.43
59.4207,24.454,0.438
59.4207,24.4957,0.445
59.4207,24.5374,0.465
59.4207,24.579,0.485
59.4207,24.6207,0.498
59.4207,24.6624,0.488
59.4207,24.704,0.475
59.4207,24.7457,0.502
59.4207,24.7874,0.49
59.4207,24.829,0.47
59.4207,24.8707,0.475
59.4207,24.9124,0.468
59.4207,24.954,0.463
59.4207,24.9957,0.458
59.4207,25.0374,0.452
59.4207,25.079,0.458
59.4207,25.1207,0.45
59.4207,25.1624,0.435
59.4207,25.204,0.433
59.4207,25.2457,0.455
59.4207,25.2874,0.447
59.4207,25.329,0.44
59.4207,25.3707,0.435
59.4207,25.4124,0.47
59.4207,25.454,0.445
59.4207,25.4957,0.445
59.4207,25.5374,0.44
59.4207,25.579,0.455
59.4207,25.6207,0.433
59.4207,25.6624,0.445
59.4207,25.704,0.412
59.4207,25.7457,0.438
59.4207,25.7874,0.415
59.4207,25.829,0.423
59.4207,25.8707,0.425
59.4207,25.9124,0.412
59.4207,25.954,0.435
59.4207,25.9957,0.4
59.4207,26.0374,0.438
59.4207,26.079,0.428
59.4207,26.1207,0.435
59.4207,26.1624,0.425
59.4207,26.204,0.415
59.4207,26.2457,0.42
59.4207,26.2874,0.442
59.4207,26.329,0.44
59.4207,26.3707,0.415
59.4207,26.4124,0.44
59.4207,26.454,0.445
59.4207,26.4957,0.435
59.4207,26.5374,0.407
59.4207,26.579,0.415
59.4207,26.6207,0.398
59.4207,26.6624,0.395
59.4207,26.704,0.405
59.4207,26.7457,0.405
59.4207,26.7874,0.412
59.4207,26.829,0.403
59.4207,26.8707,0.407
59.4207,26.9124,0.407
59.4207,26.954,0.423
59.4207,26.9957,0.438
59.4207,27.0374,0.428
59.4207,27.079,0.425
59.4207,27.1207,0.433
59.4207,27.1624,0.393
59.4207,27.204,0.43
59.4207,27.2457,0.415
59.4207,27.2874,0.412
59.4207,27.329,0.412
59.4207,27.3707,0.405
59.4207,27.4124,0.393
59.4207,27.454,0.38
59.4207,27.4957,0.398
59.4207,27.5374,0.387
59.4207,27.604,0.398
59.4207,27.6707,0.398
59.4207,27.9457,0.417
59.4207,27.9874,0.387
59.4207,28.029,0.407
59.4207,28.0707,0.403
59.4207,28.1124,0.425
59.4124,24.2874,0.463
59.4124,24.329,0.42
59.4124,24.3707,0.423
59.4124,24.4124,0.45
59.4124,24.454,0.423
59.4124,24.4957,0.455
59.4124,24.5374,0.477
59.4124,24.579,0.485
59.4124,24.6207,0.48
59.4124,24.6624,0.49
59.4124,24.704,0.48
59.4124,24.7457,0.49
59.4124,24.7874,0.475
59.4124,24.829,0.45
59.4124,24.8707,0.468
59.4124,24.9124,0.472
59.4124,24.954,0.455
59.4124,24.9957,0.463
59.4124,25.0374,0.44
59.4124,25.079,0.458
59.4124,25.1207,0.447
59.4124,25.1624,0.445
59.4124,25.204,0.433
59.4124,25.2457,0.45
59.4124,25.2874,0.455
59.4124,25.329,0.433
59.4124,25.3707,0.447
59.4124,25.4124,0.475
59.4124,25.454,0.465
59.4124,25.4957,0.468
59.4124,25.5374,0.472
59.4124,25.579,0.468
59.4124,25.6207,0.452
59.4124,25.6624,0.433
59.4124,25.704,0.433
59.4124,25.7457,0.407
59.4124,25.7874,0.417
59.4124,25.829,0.417
59.4124,25.8707,0.417
59.4124,25.9124,0.428
59.4124,25.954,0.405
59.4124,25.9957,0.405
59.4124,26.0374,0.433
59.4124,26.079,0.428
59.4124,26.1207,0.438
59.4124,26.1624,0.4
59.4124,26.204,0.43
59.4124,26.2457,0.447
59.4124,26.2874,0.45
59.4124,26.329,0.438
59.4124,26.3707,0.438
59.4124,26.4124,0.44
59.4124,26.454,0.412
59.4124,26.4957,0.45
59.4124,26.5374,0.415
59.4124,26.579,0.425
